model,coefficients,log_likelihood,aic,likelihood_ratio_chi_square,added_degrees_freedom,likelihood_ratio_p_value
Linear predictor terms,5,-473.8026835311782,957.6053670623564,NA,NA,NA
All continuous predictors as 3-df natural splines,13,-463.3231357026504,952.6462714053008,20.959095657055627,8,0.007256885561437511
