contrast,full_sample_hazard_ratio,bootstrap_median,bootstrap_2.5_percentile,bootstrap_97.5_percentile,proportion_above_1
"Age, per 10-year increase",1.568942391337443,1.5843671073313983,1.3246042532739373,1.9364095103217422,1
EF 20% versus EF 40%,4.704372754575175,4.819104253605503,2.606245304070935,10.227732114682762,1
EF 30% versus EF 40%,1.3665400239863783,1.4074560021405536,0.8911353402941494,2.277809947216771,0.926
EF 50% versus EF 40%,1.0225166452615113,0.9760912732162597,0.7150717890751155,1.3288703779221112,0.438
EF 60% versus EF 40%,1.0077343330567554,0.9294624603969698,0.44160539156517287,1.8506921832994578,0.42
"Serum creatinine, per doubling",1.693892158643089,1.708750504463365,1.1966395165212242,2.520979756480187,0.994
"Serum sodium, per 5-mEq/L increase",0.8876303441231979,0.8796752392932041,0.6774317907506993,1.1465300906863338,0.184
Male versus female,0.8052428725674902,0.7922285545684284,0.5031457815913771,1.25920020348409,0.176
