ejection_fraction,hazard_ratio,lower_95,upper_95,reference_ejection_fraction
14,12.289288095097646,5.164102081055662,29.24547181945624,40
14.442953020134228,11.42949502662878,4.946276331056537,26.410444508228363,40
14.885906040268456,10.630429000859696,4.735064267450267,23.865783938592717,40
15.328859060402685,9.888294691344614,4.530272842230447,21.583329593617496,40
15.771812080536913,9.19945929985225,4.33171517915083,19.537307488953726,40
16.21476510067114,8.560456535461755,4.1392127761371516,17.704191608124695,40
16.65771812080537,7.967988599633887,3.9525979330540073,16.062560219688322,40
17.100671140939596,7.41892644879844,3.771716391492589,14.592950248547124,40
17.543624161073826,6.910308585876132,3.5964301397587803,13.277712313699004,40
17.986577181208055,6.439338611567853,3.4266202905499235,12.100868563926602,40
18.42953020134228,6.003381745631354,3.2621898813717443,11.047975039584381,40
18.87248322147651,5.599960508082886,3.103066382191042,10.10598995627844,40
19.31543624161074,5.226749730594482,2.9492036293444057,9.263149032656775,40
19.758389261744966,4.881571049528939,2.800582852963331,8.508848751389209,40
20.201342281879196,4.562387014229347,2.657212445614756,7.833538226106289,40
20.644295302013425,4.267294927474882,2.5191261528126185,7.228620121990124,40
21.08724832214765,3.994520519503576,2.386379467787129,6.686360822376322,40
21.530201342281877,3.7424115427247666,2.259044187658316,6.1998097388425,40
21.973154362416107,3.509431361208022,2.137201320898762,5.762727338129788,40
22.416107382550337,3.2941525972267547,2.0209327897234863,5.3695211384543455,40
22.859060402684563,3.0952508865200627,1.9103125925668163,5.015188659584851,40
23.302013422818792,2.9114987844669686,1.8053982258298829,4.695266147199249,40
23.74496644295302,2.7417598569847446,1.706223171808311,4.4057818681515055,40
24.187919463087248,2.5849829826004385,1.6127911335935876,4.143212894186031,40
24.630872483221477,2.4401968857317105,1.5250724653017833,3.90444452746476,40
25.073825503355707,2.306504915676019,1.4430029604612113,3.6867318167783085,40
25.516778523489933,2.1830800810725637,1.3664848837058372,3.4876629059013666,40
25.959731543624162,2.069160345596905,1.2953899111992422,3.305124193708641,40
26.402684563758392,1.9640441873037553,1.2295635111753862,3.1372674405360055,40
26.845637583892618,1.867086421282469,1.1688302509925605,2.9824790225758493,40
27.288590604026847,1.777694283069771,1.1129995459588469,2.8393515303157146,40
27.731543624161077,1.6953237685172025,1.0618714433290415,2.7066578521866944,40
28.174496644295303,1.6194762244835503,1.0152421368534315,2.5833278057155042,40
28.61744966442953,1.5496951837672575,0.9729090123296824,2.468427296033349,40
29.06040268456376,1.485563437067714,0.9346751189795948,2.361139909193003,40
29.503355704697988,1.426700334429994,0.9003530381009294,2.260750792329176,40
29.946308724832214,1.372759308552811,0.86976817751892,2.1666326360593926,40
30.389261744966444,1.323425612497403,0.8427615594331851,2.07823355516132,40
30.832214765100673,1.278414264704041,0.8191921935984907,1.9950666583131675,40
31.2751677852349,1.2374681947864858,0.7989391412118078,1.9167011028968373,40
31.71812080536913,1.2003565843219852,0.7819033810526093,1.8427544431198684,40
32.16107382550336,1.1668733977796844,0.7680095914692855,1.7728860961762591,40
32.604026845637584,1.13683609983363,0.7572079622301472,1.706791769698964,40
33.04697986577182,1.1100845565939543,0.7494761509788875,1.6441987128995506,40
33.48993288590604,1.086480119773777,0.7448215014554695,1.5848616727053702,40
33.93288590604027,1.0659048945094876,0.7432836457145491,1.5285594546440628,40
34.375838926174495,1.0482611934958395,0.7449376207450442,1.4750920066170283,40
34.81879194630872,1.0334711823214402,0.7498976408042212,1.4242779635143816,40
35.261744966442954,1.0214665689770133,0.7583047187506653,1.3759560315761994,40
35.70469798657719,1.0120430723755163,0.770080497038178,1.3300313204692111,40
36.14765100671141,1.0048985159883406,0.7849631611146161,1.286456584792672,40
36.59060402684564,0.9997505853831214,0.802691220852803,1.2451876973464269,40
37.033557046979865,0.9963347259208045,0.8229964196341804,1.206181293615991,40
37.47651006711409,0.9943994830223998,0.8455920320998579,1.1693940982150157,40
37.919463087248324,0.9937025834000739,0.8701621189755312,1.1347825913388763,40
38.36241610738255,0.9940076772904204,0.8963518825247165,1.1023028810173234,40
38.805369127516784,0.9950816865882355,0.923759399478562,1.0719106766786053,40
39.24832214765101,0.9966927237832358,0.9519291383785242,1.0435612753009693,40
39.691275167785236,0.998608562370791,0.9803477900003048,1.017209475057773,40
40.13422818791946,1.0005967473984871,0.9928088852284269,1.0084456996716704,40
40.577181208053695,1.0025059826597111,0.9702800933297537,1.0358021896744753,40
41.02013422818792,1.0043234873060816,0.9494949208888003,1.0623181282638778,40
41.463087248322154,1.0060498229660408,0.9303300006046409,1.087932503124906,40
41.90604026845638,1.0076855836381153,0.9126710680819446,1.1125916784084122,40
42.348993288590606,1.0092313949424312,0.8964118360344229,1.136250066758749,40
42.79194630872483,1.010687913362798,0.8814529519595404,1.1588707666663232,40
43.23489932885906,1.012055825480265,0.8677010271856486,1.18042616269647,40
43.67785234899329,1.0133358471990523,0.8550677270347442,1.2008984864621104,40
44.12080536912752,1.0145287229657296,0.8434689137339999,1.2202803363148826,40
44.56375838926175,1.015635224982526,0.8328238357330068,1.2385751535526386,40
45.006711409395976,1.0166561524156232,0.8230543593317761,1.2557976523977017,40
45.4496644295302,1.0175923305992718,0.814084241087919,1.2719742000049683,40
45.89261744966443,1.0184446102365816,0.8058384424338159,1.2871431412322216,40
46.33557046979866,1.0192138665977708,0.7982424913589106,1.3013550607870465,40
46.77852348993289,1.0199009987167145,0.7912218999200884,1.3146729726368913,40
47.22147651006711,1.0205069285865347,0.7847016506846695,1.3271724232827193,40
47.664429530201346,1.0210326003550336,0.7786057698276776,1.3389414918136189,40
