bootstrap,fit_succeeded,training_concordance,test_concordance,optimism,"Age, per 10-year increase",EF 20% versus EF 40%,EF 30% versus EF 40%,EF 50% versus EF 40%,EF 60% versus EF 40%,"Serum creatinine, per doubling","Serum sodium, per 5-mEq/L increase",Male versus female
1,TRUE,0.7570698616861951,0.7374435801402094,0.01962628154598567,1.8496903466661656,3.8833874242823634,1.048800742173888,1.2581753942688934,1.242542904642008,1.7499672816235101,0.8905558740880888,0.5374125541856746
2,TRUE,0.7799691387790529,0.7408527801786229,0.03911635860043006,1.7551126128534738,8.893162544144184,1.5497541572457052,0.9707399867607449,0.8479533773123696,1.4840449825243849,0.9063715288984064,1.0019810481598015
3,TRUE,0.7676892627412173,0.745606453471622,0.02208280926959527,1.496639715318866,4.563621279270101,1.0433656875470718,1.3313881700329364,1.3300399979446924,2.2771994229525148,0.9959392904058791,0.909371894154839
4,TRUE,0.7279244778910807,0.7379237491597042,-0.009999271268623433,1.589247550988428,3.746590643271694,0.8465424280374875,1.3558593093508566,1.0111031059738862,1.6008483898188393,0.9584861660357226,0.7205603227573678
5,TRUE,0.7754948256806993,0.7478152309612984,0.027679594719400846,1.4771494482395213,4.902432531527022,1.6056677426412123,0.8844458625433532,0.8696336705163125,1.6918253644787216,0.9197150576618374,0.9335941351579099
6,TRUE,0.7541283471368325,0.7408047632766734,0.013323583860159083,1.8599835049026963,5.8862583247973905,1.0952900583538698,1.231847498580651,0.929332085620363,1.6357503663244117,0.8702802707327107,0.7645976083152679
7,TRUE,0.7951121006575881,0.7453663689618746,0.0497457316957135,1.5802258391709747,5.209368733570788,1.9761945174566244,0.8926843110458091,1.2313299015668537,2.367239166519846,0.8652690506087656,0.9073850263702042
8,TRUE,0.7162063288823852,0.7461346393930663,-0.029928310510681122,1.5649654091312133,5.340456502581614,1.1159431314554749,1.2187754953993444,1.0879481895347536,1.4065163777129224,0.8129989191757053,0.681121808154403
9,TRUE,0.7279355751441942,0.7395563238259868,-0.011620748681792636,1.6331225814939774,4.780925565036439,1.3949321847682645,0.7662733951599551,0.43598041810944943,2.10865923054759,0.8663096601563588,0.5300998652310329
10,TRUE,0.774267149446952,0.7331220589647556,0.04114509048219639,1.6100055358219696,9.23388099675721,1.9961642889259932,1.0040277494059766,1.5303861687362517,1.2444615166846218,0.6878075033111373,0.9698645631615352
11,TRUE,0.767765638596152,0.7198213771247479,0.04794426147140407,1.7496235408744125,10.212535226445313,1.8690814909129327,1.052225147141482,1.4787651412338638,1.0109510118572465,0.9613544728037869,0.7838460727270011
12,TRUE,0.7418942817842406,0.7407087294727744,0.0011855523114661093,1.5717659450965613,7.897821584750903,1.9372165328450957,0.9431764980478962,1.163343251551327,1.4574881318086492,0.9968306560310453,0.8798997507864029
13,TRUE,0.7462403197601799,0.7402285604532796,0.006011759306900344,1.755459127528605,5.420186718935153,1.2760816959448775,1.1638934449046772,1.2223580962585907,1.334882858922556,0.8674319981208347,0.6836151515874037
14,TRUE,0.7293475435404211,0.7329780082589071,-0.0036304647184860483,1.2020914849134507,3.463785819777369,1.1689844512846208,0.8545174461492945,0.4765082276847725,2.1859790817329308,0.9543545145346399,0.7958196440448723
15,TRUE,0.7520268381325133,0.7378277153558053,0.014199122776707984,1.7364862374536452,4.554558171260717,1.1016244856639956,1.1793984459943718,1.0171950654488822,1.553106546748351,0.9239392029142356,1.0571709409516048
16,TRUE,0.7854426167157935,0.7306251800633823,0.05481743665241123,1.7432221680006765,4.284609713489739,1.8274322795960767,0.5908291563109833,0.33964393821345273,2.700348721219041,0.9055624214680856,0.7222292117288387
17,TRUE,0.746800731261426,0.737107461826563,0.009693269434863039,1.4563285300710367,4.490202811886957,1.0733676963177832,1.128945024169689,0.9130786192515897,1.1842517329921793,0.7744222443017934,0.7572970293816338
18,TRUE,0.7414041051117793,0.7347546336310381,0.0066494714807412425,1.6636646302859697,4.9481683574361766,1.2319237198303268,0.8567162673163073,0.45481092852798294,1.7671084050983443,1.003635222805116,1.069927138207595
19,TRUE,0.8061729011636618,0.7449342168443291,0.06123868431933266,1.5802576579500016,4.4123892370282745,1.3068801740958789,0.9214654567200293,0.6814879465338388,1.8230342962487898,0.8238672810977838,0.9327064374581762
20,TRUE,0.7328190743338008,0.7447901661384808,-0.011971091804680034,1.6686153451034242,4.731768846971272,1.5800241590565287,0.9036951417588237,0.9149827888618515,1.8767582212734362,1.0024946989491246,0.6770803231186066
21,TRUE,0.7803781697366492,0.7414769999039662,0.03890116983268299,1.7234078905450725,3.754202118241314,1.255710181465714,1.2104745644081427,1.574056283657779,2.3086271618116605,0.8205088619310728,0.7619024344232072
22,TRUE,0.7293294940353764,0.7414289830020167,-0.01209948896664026,1.6584812010855687,4.405243699454423,1.4049056058146465,1.1188443127864396,1.432656008592174,1.4194534655385003,0.8594368572745359,0.8441249273453708
