predictor,hazard_ratio,lower_95,upper_95,p_value
"Age, per 10-year increase",1.5251811813360576,1.2894124521829773,1.804060160861197,8.362259159404738e-7
"Ejection fraction, per 5-point increase",0.7935814986266372,0.7141636001527666,0.8818309905850494,1.72768917953053e-5
"Serum creatinine, per doubling",2.058921669599021,1.6467447802556963,2.574265601064295,2.35097665981288e-10
"Serum sodium, per 5-mEq/L increase",0.7130795046077528,0.5891055825284179,0.8631430340708228,5.198557349600433e-4
Male versus female,1.0136551242765999,0.6671283928186358,1.5401783555201531,0.9493337835313296
